Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1902,-.17,-.09,-.28,-.29,-.33,-.32,-.28,-.31,-.30,-.30,-.37,-.43,-.29,-.28,-.18,-.30,-.30,-.32
1903,-.25,-.06,-.24,-.42,-.40,-.43,-.35,-.46,-.50,-.47,-.43,-.52,-.38,-.37,-.25,-.35,-.41,-.47
1904,-.64,-.59,-.51,-.51,-.52,-.49,-.51,-.49,-.56,-.39,-.18,-.34,-.48,-.49,-.58,-.52,-.50,-.38
1905,-.36,-.60,-.22,-.34,-.30,-.29,-.27,-.21,-.19,-.25,-.08,-.14,-.27,-.29,-.43,-.29,-.25,-.17
1906,-.28,-.28,-.18,-.05,-.26,-.19,-.23,-.20,-.28,-.20,-.38,-.15,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.44,-.52,-.28,-.37,-.47,-.42,-.35,-.35,-.35,-.23,-.47,-.47,-.39,-.37,-.37,-.37,-.37,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.39,-.36,-.46,-.36,-.44,-.52,-.50,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.73,-.46,-.55,-.59,-.55,-.52,-.45,-.34,-.39,-.40,-.33,-.57,-.49,-.48,-.57,-.56,-.44,-.37
1910,-.43,-.42,-.51,-.43,-.35,-.39,-.35,-.37,-.39,-.41,-.58,-.68,-.44,-.43,-.47,-.43,-.37,-.46
1911,-.63,-.58,-.61,-.54,-.52,-.51,-.43,-.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.27,-.16,-.39,-.19,-.22,-.25,-.43,-.55,-.58,-.58,-.41,-.44,-.37,-.35,-.22,-.27,-.41,-.52
1913,-.41,-.46,-.43,-.40,-.45,-.46,-.37,-.34,-.35,-.33,-.21,-.03,-.35,-.39,-.44,-.43,-.39,-.29
1914,.04,-.10,-.25,-.30,-.22,-.26,-.24,-.17,-.17,-.04,-.16,-.04,-.16,-.16,-.03,-.25,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.23,-.13,-.23,-.21,-.25,-.14,-.21,-.15,-.13,-.10,-.03,-.19,-.20
1916,-.14,-.16,-.29,-.31,-.36,-.50,-.37,-.28,-.37,-.34,-.47,-.82,-.37,-.32,-.17,-.32,-.38,-.39
